Player 1: 0 | Player 2: 0 | Result: Tie
Player 1: 0 | Player 2: 0 | Result: Tie
Player 1: 0 | Player 2: 0 | Result: Tie
Player 1: 0 | Player 2: 0 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Result: Tie
Player 1: 1 | Player 2: 0 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 1 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 1
Player 1: 1 | Player 2: 1 | Winner: Player 1
Player 1: 0 | Player 2: 0 | Winner: Player 2
Player 1: 0 | Player 2: 0 | Winner: Player 1
